label,train_seed,density,episodes,success,cost,route_completion,collision,out_of_road,mean_speed_kmh,stop_ratio,low_progress,ttc_dangerous_fraction,intervention_rate_per_100_steps
baseline,0,0.08,40,0.0,1.0,0.2644073191954356,0.45,0.55,45.592256374908956,0.0017094771507984523,0.375,0.6212340503226219,0.0
baseline,0,0.15,40,0.0,1.0,0.20866568585407194,0.725,0.275,41.737793859630045,0.0013330612161859274,0.55,0.6708568398991729,0.0
baseline,0,0.2,40,0.0,1.0,0.1734186811083072,0.775,0.225,38.28049122221775,0.0020477996058604225,0.725,0.6954735837099608,0.0
baseline,0,0.25,40,0.0,1.0,0.17443236473077184,0.725,0.275,37.4804110497037,0.001518351166661295,0.75,0.6151659525743375,0.0
baseline,1,0.08,40,0.0,1.0,0.22873073655154252,0.475,0.525,43.620139576761275,0.0011475837396570925,0.475,0.5296982175731879,0.0
baseline,1,0.15,40,0.0,1.0,0.19932662186294628,0.525,0.475,41.095740932957504,0.001209757447090045,0.575,0.5546602991684508,0.0
baseline,1,0.2,40,0.0,1.0,0.17263246270737376,0.65,0.35,38.148967318777906,0.0017049895436316547,0.75,0.5264046807653573,0.0
baseline,1,0.25,40,0.0,1.0,0.1684240067525801,0.675,0.325,37.79351279672181,0.0014880524782126476,0.725,0.5172631056235747,0.0
baseline,2,0.08,40,0.0,1.0,0.28053147398692907,0.375,0.625,44.15386633635416,0.0012468736206745876,0.425,0.51477999989317,0.0
baseline,2,0.15,40,0.0,1.0,0.21439484748869778,0.65,0.35,40.325094920696394,0.0017931347804912973,0.6,0.5850700017238245,0.0
baseline,2,0.2,40,0.0,1.0,0.22187814707319292,0.625,0.375,39.23988334164916,0.0019447923709287225,0.55,0.5801427238997632,0.0
baseline,2,0.25,40,0.0,1.0,0.1767919587641049,0.675,0.325,36.75193520981274,0.0026585179875962548,0.75,0.5675498262203875,0.0
gated_risk,0,0.08,40,0.875,0.025,0.9813949523812406,0.025,0.0,17.88534607236607,0.0088502074578879,0.0,0.1444378674738629,84.11626422942452
gated_risk,0,0.15,40,0.6,0.2,0.8613493661715113,0.2,0.0,15.373623169671891,0.037896295797518305,0.025,0.09833094483865894,68.40064877323593
gated_risk,0,0.2,40,0.375,0.375,0.7483039528961657,0.375,0.0,14.024060577577004,0.0369843639514275,0.025,0.06107339788048427,58.263817877863836
gated_risk,0,0.25,40,0.175,0.65,0.5764385270247047,0.65,0.0,11.546607679654871,0.075099609018583,0.075,0.13394676135635025,49.81195100560585
gated_risk,1,0.08,40,0.85,0.05,0.9609115624413025,0.05,0.0,17.92685387569008,0.00645925633346207,0.0,0.14658542617732928,84.12255749075905
gated_risk,1,0.15,40,0.6,0.175,0.8626861915361712,0.175,0.0,15.131052283085442,0.04075371904387663,0.0,0.14578385507125205,67.12814792735543
gated_risk,1,0.2,40,0.375,0.25,0.7453913655195962,0.25,0.0,13.115590589256126,0.06370853674884362,0.025,0.08654999126919811,56.054354550447194
gated_risk,1,0.25,40,0.15,0.5,0.6305498044393993,0.5,0.0,11.032249677020285,0.09224574437604623,0.0,0.058247175541164674,47.108577342017306
gated_risk,2,0.08,40,0.825,0.05,0.9641662937555759,0.05,0.0,17.997902492880122,0.002571891634477242,0.0,0.11171549922700605,84.25320821264081
gated_risk,2,0.15,40,0.65,0.175,0.8821966185041246,0.175,0.0,15.40340785958806,0.027151954511371916,0.0,0.09852048176561154,68.08779962775326
gated_risk,2,0.2,40,0.425,0.35,0.7683377692900162,0.35,0.0,13.340166566975359,0.05670362743393605,0.025,0.06776741620384517,56.891843635174226
gated_risk,2,0.25,40,0.225,0.425,0.6317564241849543,0.4,0.025,11.178902040718068,0.08585261595178845,0.05,0.07829727646042137,47.549705939835704
guard_only,0,0.08,40,0.875,0.025,0.9774900955237416,0.0,0.025,17.999965657108064,0.005568872801402218,0.0,0.12327523380662846,84.85688189357401
guard_only,0,0.15,40,0.575,0.3,0.8549176409810242,0.25,0.05,15.910736727815578,0.023017665246621265,0.0,0.11622570103853833,70.34165865883467
guard_only,0,0.2,40,0.525,0.275,0.7721286407887588,0.275,0.0,13.68508647116673,0.06990800696113171,0.0,0.0788520360600279,61.015010718539784
