label,density,episodes,train_seeds,success_mean,success_std,cost_mean,cost_std,route_completion_mean,route_completion_std,collision_mean,collision_std,out_of_road_mean,out_of_road_std,mean_speed_kmh_mean,mean_speed_kmh_std,median_speed_kmh_mean,median_speed_kmh_std,stop_ratio_mean,stop_ratio_std,low_progress_mean,low_progress_std,progress_per_cost_mean,progress_per_cost_std,mean_ttc_mean,mean_ttc_std,min_ttc_mean,min_ttc_std,ttc_dangerous_fraction_mean,ttc_dangerous_fraction_std,intervention_rate_per_100_steps_mean,intervention_rate_per_100_steps_std,intervention_rate_per_km_mean,intervention_rate_per_km_std,policy_inference_ms_mean_mean,policy_inference_ms_mean_std,policy_inference_ms_p95_mean,policy_inference_ms_p95_std,env_step_wall_ms_mean_mean,env_step_wall_ms_mean_std,env_step_wall_ms_p95_mean,env_step_wall_ms_p95_std,control_loop_wall_ms_mean_mean,control_loop_wall_ms_mean_std,control_loop_wall_ms_p95_mean,control_loop_wall_ms_p95_std
baseline,0.08,40,1,0.0,0.0,1.0,0.0,0.28053147398692907,0.17225535543924228,0.375,0.4902903378454601,0.625,0.4902903378454601,44.15386633635416,8.00006759702709,48.60504042836065,10.523587201174363,0.0012468736206745952,0.003427074738223507,0.425,0.5006406152531231,0.28053147398692907,0.17225535543924228,4.385027650370059,3.255863683904655,1.6314223548825568,2.2207865876045756,0.5147799998931701,0.44757126169759026,0.0,0.0,0.0,0.0,1.6435244870826904,1.1021862666967346,4.465165553865518,3.3867834528388885,5.56668004086593,2.5978713366477937,10.037886135196457,4.766385826697086,7.210204527948619,3.5651709407030587,12.764489490728007,6.1375594090342105
baseline,0.2,40,1,0.0,0.0,1.0,0.0,0.22187814707319298,0.1375674820679837,0.625,0.4902903378454601,0.375,0.4902903378454601,39.23988334164916,5.761103065479547,43.64728277958793,8.339272268901265,0.0019447923709287347,0.004290830525259517,0.55,0.5038314736557788,0.22187814707319298,0.1375674820679837,5.4613783491945425,2.9537864266317437,1.371084253111463,2.123885893810449,0.5801427238997633,0.3401111502562668,0.0,0.0,0.0,0.0,1.3888898111908197,0.2820691055211664,3.8510707027489834,1.6289915104346822,11.991783181508492,4.939192642465123,21.006727207241056,8.912369305380874,13.380672992699312,5.063564623732677,23.160433279826975,9.049356629790099
baseline,0.25,40,1,0.0,0.0,1.0,0.0,0.17679195876410495,0.07935781534581873,0.675,0.47434164902525683,0.325,0.4743416490252569,36.751935209812736,3.9799847645726665,40.56856415246866,5.976614645697179,0.002658517987596265,0.0050966703510455826,0.75,0.4385290096535146,0.17679195876410495,0.07935781534581873,7.010233838712716,4.293901749906993,0.9228731196932367,1.094302980360847,0.5675498262203875,0.33402267529197305,0.0,0.0,0.0,0.0,1.3261284985369748,0.2999553055245653,3.1441198729771704,1.547920821463567,12.963840819812106,5.303677367004155,21.268238924512843,9.873966390479412,14.28996931834908,5.477370938487735,23.243131078688748,10.550576683458734
