label,density,episodes,train_seeds,success,cost,route_completion,collision,out_of_road,mean_speed_kmh,median_speed_kmh,stop_ratio,low_progress,progress_per_cost,mean_ttc,min_ttc,ttc_dangerous_fraction,intervention_rate_per_100_steps,intervention_rate_per_km,policy_inference_ms_mean,policy_inference_ms_p95,control_loop_wall_ms_mean,control_loop_wall_ms_p95
shield_only,0.15,120,3,0.625,0.19166666666666668,0.8568733768347584,0.15833333333333333,0.03333333333333333,15.887062574751605,17.246378756139173,0.02803494805289226,0.008333333333333333,750950.3796682921,40.14048761423189,3.2288496361478574,0.11351678840604472,70.75138612402806,1619.628101619729,0.8384461480491531,1.4231420882849002,7.983815671234671,12.680893893411849
gated_risk,0.15,120,3,0.6166666666666667,0.18333333333333332,0.868744058737269,0.18333333333333332,0.0,15.302694437448464,16.95264947063135,0.03526732311758895,0.008333333333333333,759313.0789777172,54.47257285928306,2.8331721311030122,0.11421176055850751,67.87219877611487,1604.2303876555848,0.7999660397441841,1.3655103653036347,7.73174642610425,12.398171268220416
risk_only,0.2,120,3,0.0,0.0,0.00898984576689753,0.0,0.0,0.013572859895025624,0.012528360672646288,1.0,1.0,8989.845766897575,14719.754994153607,696.9811493705341,0.0,0.0,0.0,1.0210252986313815,1.7784890869127894,6.706260151446623,9.511191827587025
baseline,0.2,120,3,0.0,1.0,0.18930976362962462,0.6833333333333333,0.31666666666666665,38.55644729421494,42.64002286596414,0.0018991938401402666,0.675,0.18930976362962462,6.073795189428553,0.8938579710236433,0.6006736627916938,0.0,0.0,1.395720594257289,3.671870486274807,13.132899097925964,21.98081631786408
no_action_guard,0.2,120,3,0.0,1.0,0.2033758416943995,0.6583333333333333,0.3416666666666667,34.7590904552242,38.40163961174436,0.0019402785869152366,0.6666666666666666,0.2033758416943995,13.560339597071849,1.1125139015386116,0.5050497415479182,0.0,0.0,1.3079101186194049,3.22711950821637,12.203373515307312,19.644021824102914
guard_only,0.2,120,3,0.525,0.26666666666666666,0.7746153649761693,0.26666666666666666,0.0,13.687234611036311,14.678430394536896,0.05347443484705062,0.025,650686.1725162638,52.26947126479975,2.596267081986544,0.08177799816674414,59.31143339272901,1585.0394864753841,1.005133485025682,1.597788843700982,13.569106221057172,20.71009579026698
shield_only,0.2,120,3,0.475,0.3333333333333333,0.7637245916477902,0.30833333333333335,0.025,13.611841944610068,14.921348602925624,0.05063132804355106,0.0,581627.813218883,49.50237016336355,2.7278781477955714,0.08216201672313256,58.940924937389944,1569.792607595838,1.0005433694043,1.6132006752438122,13.785760167221497,21.372920072838795
gated_risk,0.2,120,3,0.39166666666666666,0.325,0.7540110292352594,0.325,0.0,13.493272577936162,14.712926439366376,0.052465509378069056,0.025,575431.7677622306,47.50110902631188,2.7786228998585125,0.07179693511784252,57.07000535449508,1522.1469404050215,0.985488060075189,1.4970572285346855,13.667836926050567,20.98140014047506
risk_only,0.25,120,3,0.0,0.0,0.008990756378925296,0.0,0.0,0.013677967780722501,0.012569971130354043,1.0,1.0,8990.756378925349,13553.039804147364,856.7347008320828,0.0,0.0,0.0,0.9324734499258436,1.2383525581572028,7.258799418148717,8.57491007919331
baseline,0.25,120,3,0.0,1.0,0.17321611008248564,0.6916666666666667,0.30833333333333335,37.341953018746075,41.51364014850789,0.0018883072108233992,0.7416666666666667,0.17321611008248564,6.838512842144175,0.8155160512411183,0.5666596281394333,0.0,0.0,1.3644926649279894,3.3683584918192833,14.79529992453931,23.85994846163157
no_action_guard,0.25,120,3,0.0,1.0,0.16813411864687636,0.6916666666666667,0.30833333333333335,33.90247348005199,37.596660178018816,0.001649311666642001,0.7333333333333333,0.16813411864687636,7.981094998243723,1.082926324646397,0.5772364374307614,0.0,0.0,1.2431113116347998,2.9319326512328785,14.426639221371468,23.009865369925436
guard_only,0.25,120,3,0.3,0.43333333333333335,0.6412420765082758,0.4,0.03333333333333333,11.662357131355005,12.34622867012161,0.08017783688471279,0.041666666666666664,439209.29414170806,56.19903857039366,2.620301724235147,0.0743499377955559,50.62412750202892,1626.9577242409546,0.7954875107405004,1.0074537340612246,13.214978098385767,17.770410999000887
shield_only,0.25,120,3,0.25,0.5,0.6462051601483944,0.4583333333333333,0.041666666666666664,11.837145768774878,12.788128056975474,0.08235872275459227,0.05,399953.1609024183,56.22330299862128,2.5166463480359393,0.08302418080523571,52.019571460523224,1660.5936472223107,0.7623744292223686,0.9782109735109163,12.352387313580335,16.674833141502557
gated_risk,0.25,120,3,0.18333333333333332,0.525,0.612914918549686,0.5166666666666667,0.008333333333333333,11.252586465797743,11.864419414449051,0.08439932311547255,0.041666666666666664,366149.875112854,68.2206842055699,2.865939176482504,0.09016373778597876,48.156744762486284,1555.4240376892333,0.7458807447756018,0.9561563327649005,12.34536314883585,16.471781533346075
