label,density,episodes,train_seeds,success,cost,route_completion,collision,out_of_road,mean_speed_kmh,median_speed_kmh,stop_ratio,low_progress,progress_per_cost,mean_ttc,min_ttc,ttc_dangerous_fraction,intervention_rate_per_100_steps,intervention_rate_per_km,policy_inference_ms_mean,policy_inference_ms_p95,control_loop_wall_ms_mean,control_loop_wall_ms_p95
risk_only,0.08,120,3,0.0,0.0,0.008990128849120711,0.0,0.0,0.013336740050539997,0.012477662067614723,1.0,1.0,8990.128849120762,14226.95786984876,1233.797295528233,0.0,0.0,0.0,1.334255213960326,3.9368827500463026,4.933945172794646,9.389188698138847
baseline,0.08,120,3,0.0,1.0,0.2578898432446357,0.43333333333333335,0.5666666666666667,44.45542076267479,49.76898453992155,0.001367978170376711,0.425,0.2578898432446357,4.05095942150613,1.1454572278713924,0.5552374225963266,0.0,0.0,1.6252925810741525,4.1244476823885625,7.067820809048339,12.014942117924267
no_action_guard,0.08,120,3,0.025,0.975,0.28662429500837033,0.35833333333333334,0.6166666666666667,39.50591931371832,43.951685948069134,0.001388952402560029,0.43333333333333335,24700.28604562982,14.039271384273126,1.4798057656902301,0.4041495889963688,0.0,0.0,1.3934886310452748,3.184851356879031,6.481193371292096,10.716710883474054
guard_only,0.08,120,3,0.85,0.05,0.9678389254221457,0.025,0.025,17.96751355509276,18.418661087254623,0.004808663558531772,0.0,935467.8914294484,56.75167234453121,8.086343333661528,0.13809185761663742,84.51226133657693,1694.3923265659823,1.378333475603806,4.018298993796633,7.094276404966832,14.203387379257036
shield_only,0.08,120,3,0.8333333333333334,0.06666666666666667,0.9648224514203001,0.06666666666666667,0.0,17.979112432038665,18.416011063272833,0.005363112646015415,0.0,920204.0364809328,56.060133549360046,17.649798496839352,0.1029358203025366,84.6861888103123,1697.0074079322733,1.3669154400269603,3.91777400321492,7.152303004318318,14.163584941658577
gated_risk,0.08,120,3,0.85,0.041666666666666664,0.9688242695260397,0.041666666666666664,0.0,17.936700813645423,18.410401449325164,0.005960451808609071,0.0,943902.294551004,76.35375556898339,43.35692934322769,0.13424626429273273,84.16400997760813,1690.5106433562078,1.3660078095789863,3.955237554764607,7.162930084593591,14.520395885756441
risk_only,0.15,120,3,0.0,0.0,0.008989883150365854,0.0,0.0,0.01346979611093721,0.012477700131253907,1.0,1.0,8989.883150365904,15479.743970605796,1301.7348791541074,0.0,0.0,0.0,0.8270701316376896,1.6386228360776534,4.119133369704651,6.147629379114125
baseline,0.15,120,3,0.0,1.0,0.207462385068572,0.6333333333333333,0.36666666666666664,41.05287657109465,45.98581892309081,0.00144531781458909,0.575,0.207462385068572,5.3396454850072725,1.0492515098961086,0.6035290469304827,0.0,0.0,1.3867521253516841,3.61495708426446,10.290055859899843,16.931934928500898
no_action_guard,0.15,120,3,0.008333333333333333,1.0,0.21725705408278018,0.5333333333333333,0.4666666666666667,36.83204851385207,40.87547190427269,0.0019621517857307184,0.5583333333333333,0.21725705408278018,8.317970822622575,1.565135527761784,0.4868680441508934,0.0,0.0,0.8726806263021936,1.1654269290556838,6.204188795964653,7.589483826335102
guard_only,0.15,120,3,0.5916666666666667,0.20833333333333334,0.8638174439237613,0.18333333333333332,0.025,15.801533864706586,17.16677775442407,0.02448676281485511,0.0,731939.531709748,40.374000183932,2.8616135215743035,0.11817618873900362,69.64578933292941,1582.30085162239,0.862610488005618,1.4517297195622325,8.373133975699574,13.309747457205956
