density,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,speed,lane_deviation,steering_variation,accel_variation,ttc_risk
0.0,0.94,0.9894212703216996,0.0,0.0,0.0,388.6854476365494,279.18283552519733,1066.12,18.273924140505436,0.3473446026199256,0.03641478007488818,0.24007156054232398,0.0
0.08,0.9,0.9640385590833905,0.08,0.0,0.08,395.7636337698424,248.5916357758647,1102.55,17.9901909330815,0.34069828603194663,0.039798974184585556,0.25119395510820625,0.0026778920556016247
0.15,0.61,0.858794273276088,0.28,0.0,0.28,339.49277582341404,84.30725870286835,1068.3899999999999,16.457241144109517,0.3439554119241369,0.04626930663823931,0.3159290526991989,0.014364729130778213
