variant,algo,density,n_seeds,success,success_std,route_completion,route_completion_std,collision,collision_std,out_of_road,out_of_road_std,cost,cost_std,reward,reward_std,shaped_reward,shaped_reward_std,episode_length,episode_length_std,speed,speed_std,lane_deviation,lane_deviation_std,steering_variation,steering_variation_std,accel_variation,accel_variation_std,ttc_risk,ttc_risk_std
proposed_wo_ttc,ppo,0.00,2,1.0,0.0,0.991699792208382,1.5612648807191416e-05,0.0,0.0,0.0,0.0,0.0,0.0,541.9784270419932,43.19690752959946,335.7616170347661,46.82884820991671,1107.43,5.953839097590781,18.309613275857448,0.0048307480294338115,0.11450652436810817,0.07999308992714711,0.012741948204023724,4.9159031850563334e-06,0.22654866065090634,0.001578788633273753,0.0,0.0
proposed_wo_ttc,ppo,0.08,2,0.87,0.07071067811865482,0.9459813550703393,0.04134962842191485,0.08,0.0565685424949238,0.0,0.0,0.08,0.0565685424949238,512.068809118984,30.531035438065498,293.20519989680247,26.78640957634081,1080.87,22.55670631985077,18.012059156573102,0.10165926850003147,0.12473125621377135,0.08220851496469064,0.01906777106309715,0.0008947720846443523,0.23833356548401421,0.007962543512251554,0.0033753595748526833,0.0013695092931498183
proposed_wo_ttc,ppo,0.15,2,0.55,0.1555634918610405,0.823927047040721,0.11396660898938801,0.37,0.2404163056034262,0.0,0.0,0.37,0.2404163056034262,425.0616933006506,89.64377142889786,167.73005326865592,108.14885973890053,1023.49,162.3941433673025,16.450921933152376,0.3297660183410982,0.14242811829905566,0.0549801550772273,0.03202524562753066,0.001929054217642365,0.3048588418463358,0.020199321112503724,0.010919447020374388,0.00699004446111815
