density,shield_only_success,guard_only_success,delta_shield_minus_guard_only_success,shield_only_cost,guard_only_cost,delta_shield_minus_guard_only_cost,shield_only_collision,guard_only_collision,delta_shield_minus_guard_only_collision,shield_only_out_of_road,guard_only_out_of_road,delta_shield_minus_guard_only_out_of_road,shield_only_route_completion,guard_only_route_completion,delta_shield_minus_guard_only_route_completion,shield_only_lane_deviation,guard_only_lane_deviation,delta_shield_minus_guard_only_lane_deviation,shield_only_ttc_risk,guard_only_ttc_risk,delta_shield_minus_guard_only_ttc_risk
0.0,0.9933333333333333,0.9733333333333333,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916280638982645,0.9902073727309076,0.00142069116735688,0.06088609025944441,0.061805349798109116,-0.0009192595386647087,0.0,0.0,0.0
0.08,0.9133333333333332,0.8733333333333334,0.039999999999999813,0.06666666666666667,0.09333333333333334,-0.026666666666666672,0.04666666666666667,0.09333333333333334,-0.04666666666666667,0.02,0.0,0.02,0.9592454577629775,0.9404938454525765,0.01875161231040101,0.07027947741063356,0.0791711927576199,-0.008891715346986337,0.00351875799254249,0.0037571173315305508,-0.00023835933898806077
0.15,0.6266666666666667,0.6333333333333333,-0.006666666666666599,0.22666666666666668,0.20666666666666667,0.020000000000000018,0.22666666666666668,0.19999999999999998,0.0266666666666667,0.0,0.006666666666666667,-0.006666666666666667,0.8710546865014698,0.867815496168541,0.003239190332928743,0.10513956770225923,0.13634125812863734,-0.031201690426378118,0.016501156916972393,0.01627759066310022,0.00022356625387217471
