#{"t_start": 1782747267.0821593, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
317.798682,1025,13.647831,1.0,0.0,540.4822783603202,317.79868175715603,0.0,0.0,0.0,0.0,0.9913698083496518,1025,19.377772601181398,0.10689424574658886,0.6736339555766045,0.015445354018451237,0.2926456110070391,0.2865598454126498,0.0013209230707801978,2.747638655261562,790,27,3,760,0.7707317073170732,0.026341463414634145,0.002926829268292683,0.7414634146341463,3.0
40.151596,767,24.937973,0.0,1.0,296.8766025349141,40.151595837515345,1.0,1.0,0.0,0.0,0.7045070391406375,767,16.25215067479337,0.1548141103376739,0.9888023299218942,0.023054026282177523,0.32695808116895436,0.3290348858068633,0.0017702206241410566,2.507629469997702,428,49,2,377,0.5580182529335072,0.06388526727509779,0.002607561929595828,0.4915254237288136,3.0
369.905104,1097,40.608517,1.0,0.0,623.4074241659537,369.90510446538974,0.0,0.0,0.0,0.0,0.9933976015091132,1097,20.129571916611933,0.06011720052546619,0.27634155486821954,0.022027486675260156,0.2381464487439193,0.24083865090946555,0.0014116687099297604,1.6889268384061558,931,1,3,927,0.8486782133090246,0.0009115770282588879,0.0027347310847766638,0.845031905195989,3.0
326.365121,957,52.448633,1.0,0.0,536.5853421597683,326.3651214049823,0.0,0.0,0.0,0.0,0.9920142393910245,957,20.26731642005392,0.0827240028610076,0.5313127998915512,0.01755938921907144,0.2234811906156869,0.22723321580837014,0.000332567919481705,3.4086625052800414,824,0,1,823,0.8610240334378265,0.0,0.0010449320794148381,0.8599791013584117,3.0
