variant,method,step,x,y,speed_kmh,lane_deviation,ttc_risk,out_of_road,collision,success
baseline,PPO,0,5.00201416015625,6.00227165222168,0.30208323884075083,1.4320075510675578e-05,0.0,0.0,0.0,0.0
baseline,PPO,1,5.012121677398682,6.00238037109375,0.6100547731387016,8.6772152047855e-05,0.0,0.0,0.0,0.0
baseline,PPO,2,5.030760288238525,6.002620697021484,0.9154277478466574,0.00024692937386688315,0.0,0.0,0.0,0.0
baseline,PPO,3,5.057881832122803,6.00304651260376,1.220757971863227,0.0005307000069708359,0.0,0.0,0.0,0.0
baseline,PPO,4,5.093482971191406,6.003650665283203,1.526117184744729,0.000933317467377004,0.0,0.0,0.0,0.0
baseline,PPO,5,5.1375651359558105,6.004404544830322,1.8314977244760124,0.0014357154191545506,0.0,0.0,0.0,0.0
baseline,PPO,6,5.190128803253174,6.00531005859375,2.1369005253174946,0.002039164951365532,0.0,0.0,0.0,0.0
baseline,PPO,7,5.251173973083496,6.006387710571289,2.442311288488689,0.002757330271427047,0.0,0.0,0.0,0.0
baseline,PPO,8,5.3207011222839355,6.007658958435059,2.7477412973850255,0.003604511131287224,0.0,0.0,0.0,0.0
baseline,PPO,9,5.398709774017334,6.009145259857178,3.053195918893554,0.00459500728289419,0.0,0.0,0.0,0.0
baseline,PPO,10,5.485200881958008,6.010867595672607,3.3586793066574323,0.005742800705930559,0.0,0.0,0.0,0.0
baseline,PPO,11,5.580174446105957,6.012847900390625,3.6641945453499343,0.007062508924609971,0.0,0.0,0.0,0.0
baseline,PPO,12,5.683630466461182,6.015111446380615,3.9697434126066273,0.008570973869004668,0.0,0.0,0.0,0.0
baseline,PPO,13,5.79556941986084,6.01768684387207,4.27532986699658,0.010287261875045483,0.0,0.0,0.0,0.0
baseline,PPO,14,5.915991306304932,6.020603656768799,4.5809551989299,0.012231074823194283,0.0,0.0,0.0,0.0
baseline,PPO,15,6.044896125793457,6.023896217346191,4.8866255802209055,0.014425292316568073,0.0,0.0,0.0,0.0
baseline,PPO,16,6.182281017303467,6.027597904205322,5.191788566830218,0.016892158413752825,0.0,0.0,0.0,0.0
baseline,PPO,17,6.328134059906006,6.031744480133057,5.496967209403904,0.01965550603466209,0.0,0.0,0.0,0.0
baseline,PPO,18,6.4824538230896,6.036375999450684,5.802174923271153,0.022742028049599034,0.0,0.0,0.0,0.0
baseline,PPO,19,6.64523983001709,6.0415358543396,6.1074791335066845,0.026180641734725434,0.0,0.0,0.0,0.0
baseline,PPO,20,6.816499710083008,6.0472941398620605,6.414164724296127,0.03001805961307183,0.0,0.0,0.0,0.0
baseline,PPO,21,6.996260166168213,6.053732872009277,6.720941986847907,0.03430893851430663,0.0,0.0,0.0,0.0
baseline,PPO,22,7.18452262878418,6.0608720779418945,7.02777352703819,0.03906662487358141,0.0,0.0,0.0,0.0
baseline,PPO,23,7.381285667419434,6.068753242492676,7.334668476806994,0.04431876487799589,0.0,0.0,0.0,0.0
baseline,PPO,24,7.5865478515625,6.07742977142334,7.641571783221753,0.05010094902128763,0.0,0.0,0.0,0.0
baseline,PPO,25,7.80030632019043,6.086963176727295,7.94851668742259,0.056454169925707925,0.0,0.0,0.0,0.0
baseline,PPO,26,8.022557258605957,6.097417831420898,8.255347405202478,0.06342132684710117,0.0,0.0,0.0,0.0
baseline,PPO,27,8.253293991088867,6.108854293823242,8.562189373025484,0.07104277686318762,0.0,0.0,0.0,0.0
baseline,PPO,28,8.492511749267578,6.121335983276367,8.869030614072754,0.07936078368528064,0.0,0.0,0.0,0.0
baseline,PPO,29,8.740205764770508,6.134929180145264,9.175882372928724,0.08841951765828666,0.0,0.0,0.0,0.0
baseline,PPO,30,8.996370315551758,6.1497039794921875,9.482778460382512,0.09826569130523624,0.0,0.0,0.0,0.0
baseline,PPO,31,9.261000633239746,6.1657328605651855,9.789748873999287,0.1089476060104875,0.0,0.0,0.0,0.0
baseline,PPO,32,9.534092903137207,6.183093070983887,10.096753492099271,0.12051674088105369,0.0,0.0,0.0,0.0
baseline,PPO,33,9.81563949584961,6.2018585205078125,10.403696715648374,0.13302235061808948,0.0,0.0,0.0,0.0
baseline,PPO,34,10.105629920959473,6.222105503082275,10.710632087366522,0.14651527878407708,0.0,0.0,0.0,0.0
baseline,PPO,35,10.404052734375,6.243912220001221,11.017082354462767,0.1610476400305608,0.0,0.0,0.0,0.0
baseline,PPO,36,10.710891723632812,6.267366409301758,11.323743821111105,0.1766779044543952,0.0,0.0,0.0,0.0
baseline,PPO,37,11.026138305664062,6.292568206787109,11.6304133213755,0.19347280423133822,0.0,0.0,0.0,0.0
baseline,PPO,38,11.34978199005127,6.319603443145752,11.937050362499246,0.21148953836918236,0.0,0.0,0.0,0.0
baseline,PPO,39,11.681811332702637,6.348559856414795,12.243993339535304,0.23078657696478216,0.0,0.0,0.0,0.0
baseline,PPO,40,12.022222518920898,6.379528522491455,12.55096531783755,0.2514246145208508,0.0,0.0,0.0,0.0
baseline,PPO,41,12.371000289916992,6.412607669830322,12.857955092897205,0.2734691121240842,0.0,0.0,0.0,0.0
baseline,PPO,42,12.728132247924805,6.447902679443359,13.16520966412059,0.29699029744516087,0.0,0.0,0.0,0.0
baseline,PPO,43,13.093605995178223,6.4855265617370605,13.472356701303653,0.32206348251100764,0.0,0.0,0.0,0.0
