method,density,success,full_success,delta_success_minus_full,cost,full_cost,delta_cost_minus_full,route_completion,full_route_completion,delta_route_completion_minus_full,collision,full_collision,delta_collision_minus_full,out_of_road,full_out_of_road,delta_out_of_road_minus_full,lane_deviation,full_lane_deviation,delta_lane_deviation_minus_full,steering_variation,full_steering_variation,delta_steering_variation_minus_full,accel_variation,full_accel_variation,delta_accel_variation_minus_full,ttc_risk,full_ttc_risk,delta_ttc_risk_minus_full
wo_ttc,0.00,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.9917108320182259,0.9884170352859311,0.003293796732294796,0.0,0.0,0.0,0.0,0.0,0.0,0.1710701807036592,0.0933995548798737,0.0776706258237855,0.012738472135545915,0.024873151722198204,-0.012134679586652288,0.22543228850225824,0.2304968081042756,-0.00506451960201737,0.0,0.0,0.0
wo_ttc,0.08,0.92,0.88,0.040000000000000036,0.04,0.1,-0.060000000000000005,0.9752199577270193,0.965185526459413,0.01003443126760628,0.04,0.1,-0.060000000000000005,0.0,0.0,0.0,0.18286145461657988,0.12825662932307483,0.05460482529350505,0.018435071654428703,0.029131329534865687,-0.010696257880436984,0.2327031969710082,0.23954793475939912,-0.0068447377883909255,0.002406970266768451,0.0062569150478555356,-0.0038499447810870844
wo_ttc,0.15,0.44,0.7,-0.25999999999999995,0.54,0.24,0.30000000000000004,0.7433404849954889,0.8715899657899834,-0.1282494807944945,0.54,0.22,0.32000000000000006,0.0,0.02,-0.02,0.18130495878485106,0.13764216847798405,0.04366279030686701,0.030661198308959234,0.03749256910736707,-0.006831370798407836,0.29057576491231984,0.31009000339184145,-0.019514238479521606,0.005976739181122278,0.01850101710296553,-0.012524277921843251
wo_lane,0.00,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.9918204768585587,0.9884170352859311,0.003403441572627619,0.0,0.0,0.0,0.0,0.0,0.0,0.34804022190502265,0.0933995548798737,0.254640667025149,0.02875981614040065,0.024873151722198204,0.0038866644182024464,0.23497243827385422,0.2304968081042756,0.004475630169578609,0.0,0.0,0.0
wo_lane,0.08,0.9,0.88,0.020000000000000018,0.06,0.1,-0.04000000000000001,0.9570477550803586,0.965185526459413,-0.00813777137905447,0.06,0.1,-0.04000000000000001,0.0,0.0,0.0,0.35954494669085685,0.12825662932307483,0.23128831736778202,0.031572216423762595,0.029131329534865687,0.0024408868888969072,0.24878108676616628,0.23954793475939912,0.009233152006767165,0.002343504231436157,0.0062569150478555356,-0.003913410816419379
wo_lane,0.15,0.6,0.7,-0.09999999999999998,0.28,0.24,0.040000000000000036,0.8619445937397815,0.8715899657899834,-0.009645372050201884,0.28,0.22,0.060000000000000026,0.0,0.02,-0.02,0.3475138015372186,0.13764216847798405,0.20987163305923456,0.0382080131588914,0.03749256910736707,0.000715444051524329,0.315367961163058,0.31009000339184145,0.005277957771216535,0.015603105811795255,0.01850101710296553,-0.002897911291170275
wo_smooth,0.00,0.98,0.96,0.020000000000000018,0.0,0.0,0.0,0.9893880184764705,0.9884170352859311,0.0009709831905394539,0.0,0.0,0.0,0.0,0.0,0.0,0.09520341697819962,0.0933995548798737,0.0018038620983259201,0.01897759617115369,0.024873151722198204,-0.005895555551044512,0.2307160427453659,0.2304968081042756,0.0002192346410902768,0.0,0.0,0.0
wo_smooth,0.08,0.84,0.88,-0.040000000000000036,0.14,0.1,0.04000000000000001,0.940013790143729,0.965185526459413,-0.025171736315684035,0.14,0.1,0.04000000000000001,0.0,0.0,0.0,0.10211584836796424,0.12825662932307483,-0.02614078095511059,0.02450799504952217,0.029131329534865687,-0.004623334485343519,0.23908730277337778,0.23954793475939912,-0.00046063198602133704,0.005524366949541281,0.0062569150478555356,-0.0007325480983142547
wo_smooth,0.15,0.58,0.7,-0.12,0.24,0.24,0.0,0.8490854337310175,0.8715899657899834,-0.022504532058965854,0.24,0.22,0.01999999999999999,0.0,0.02,-0.02,0.1539140943133014,0.13764216847798405,0.016271925835317336,0.036469081628710535,0.03749256910736707,-0.0010234874786565346,0.32413853422881206,0.31009000339184145,0.014048530836970607,0.01898289860783026,0.01850101710296553,0.00048188150486472986
guard_only,0.00,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.991653825384311,0.9884170352859311,0.0032367900983799602,0.0,0.0,0.0,0.0,0.0,0.0,0.06903008542423683,0.0933995548798737,-0.024369469455636866,0.004628928488304586,0.024873151722198204,-0.02024422323389362,0.22482374589823576,0.2304968081042756,-0.005673062206039858,0.0,0.0,0.0
guard_only,0.08,0.86,0.88,-0.020000000000000018,0.08,0.1,-0.020000000000000004,0.9541970551700336,0.965185526459413,-0.010988471289379409,0.08,0.1,-0.020000000000000004,0.0,0.0,0.0,0.08836094157469457,0.12825662932307483,-0.03989568774838026,0.006692246632251094,0.029131329534865687,-0.022439082902614593,0.23157897559218366,0.23954793475939912,-0.007968959167215461,0.0022350821869193183,0.0062569150478555356,-0.004021832860936218
guard_only,0.15,0.62,0.7,-0.07999999999999996,0.22,0.24,-0.01999999999999999,0.8613726099344109,0.8715899657899834,-0.010217355855572485,0.2,0.22,-0.01999999999999999,0.02,0.02,0.0,0.15064716007801718,0.13764216847798405,0.013004991600033128,0.009866343479087724,0.03749256910736707,-0.027626225628279346,0.29776238094053387,0.31009000339184145,-0.012327622451307585,0.016669246483737257,0.01850101710296553,-0.0018317706192282728
