variant,algo,seed,density,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,speed,lane_deviation,steering_variation,accel_variation,ttc_risk,min_ttc
shield_only,ppo,2,0.0,1.0,0.9922415703041966,0.0,0.0,0.0,600.8905166113169,600.8905166113169,1149.94,18.312674260400087,0.04937597252124006,0.009621886319203994,0.22745474501447582,0.0,
shield_only,ppo,2,0.08,0.86,0.9584637369230197,0.06,0.02,0.08,547.4996000432759,547.4996000432759,1070.78,18.039439198199236,0.05460190599619803,0.011647245392139748,0.2320354462836848,0.0039199843556946504,9.163879424049457
shield_only,ppo,2,0.15,0.76,0.9132135143279725,0.14,0.0,0.14,502.12286815956685,502.12286815956685,1117.36,16.55713092637685,0.08054147016174369,0.015439420387609693,0.2906401464494619,0.01155781639886766,3.978944663470844
