density,baseline,moderate_success,shield_only_success,delta_success,moderate_cost,shield_only_cost,delta_cost,moderate_route_completion,shield_only_route_completion,delta_route_completion,moderate_lane_deviation,shield_only_lane_deviation,delta_lane_deviation,moderate_collision,shield_only_collision,delta_collision,moderate_out_of_road,shield_only_out_of_road,delta_out_of_road,moderate_ttc_risk,shield_only_ttc_risk,delta_ttc_risk
0.0,shield_only,0.98,0.9933333333333333,-0.013333333333333308,0.0,0.0,0.0,0.9895203031497789,0.9916280638982645,-0.002107760748485621,0.08073129334180568,0.06088609025944441,0.01984520308236127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,shield_only,0.88,0.9133333333333332,-0.033333333333333215,0.1,0.06666666666666667,0.03333333333333334,0.9570355669536619,0.9592454577629775,-0.002209890809315662,0.09905911484687367,0.07027947741063356,0.02877963743624011,0.1,0.04666666666666667,0.05333333333333334,0.0,0.02,-0.02,0.004527793187433828,0.00351875799254249,0.0010090351948913376
0.15,shield_only,0.63,0.6266666666666667,0.0033333333333332993,0.28,0.22666666666666668,0.053333333333333344,0.8504454459295002,0.8710546865014698,-0.020609240571969556,0.15005407155912318,0.10513956770225923,0.04491450385686395,0.27,0.22666666666666668,0.043333333333333335,0.01,0.0,0.01,0.015421813456497104,0.016501156916972393,-0.0010793434604752898
