density,baseline,moderate_success,guard_only_success,delta_success,moderate_cost,guard_only_cost,delta_cost,moderate_route_completion,guard_only_route_completion,delta_route_completion,moderate_lane_deviation,guard_only_lane_deviation,delta_lane_deviation,moderate_collision,guard_only_collision,delta_collision,moderate_out_of_road,guard_only_out_of_road,delta_out_of_road,moderate_ttc_risk,guard_only_ttc_risk,delta_ttc_risk
0.0,guard_only,0.98,0.9733333333333333,0.00666666666666671,0.0,0.0,0.0,0.9895203031497789,0.9902073727309076,-0.0006870695811287408,0.08073129334180568,0.061805349798109116,0.01892594354369656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,guard_only,0.88,0.8733333333333334,0.006666666666666599,0.1,0.09333333333333334,0.006666666666666668,0.9570355669536619,0.9404938454525765,0.01654172150108535,0.09905911484687367,0.0791711927576199,0.019887922089253773,0.1,0.09333333333333334,0.006666666666666668,0.0,0.0,0.0,0.004527793187433828,0.0037571173315305508,0.0007706758559032768
0.15,guard_only,0.63,0.6333333333333333,-0.0033333333333332993,0.28,0.20666666666666667,0.07333333333333336,0.8504454459295002,0.867815496168541,-0.017370050239040813,0.15005407155912318,0.13634125812863734,0.013712813430485832,0.27,0.19999999999999998,0.07000000000000003,0.01,0.006666666666666667,0.003333333333333333,0.015421813456497104,0.01627759066310022,-0.0008557772066031151
