density,baseline,moderate_success,lane1_same_seeds_success,delta_success,moderate_cost,lane1_same_seeds_cost,delta_cost,moderate_route_completion,lane1_same_seeds_route_completion,delta_route_completion,moderate_lane_deviation,lane1_same_seeds_lane_deviation,delta_lane_deviation,moderate_collision,lane1_same_seeds_collision,delta_collision,moderate_out_of_road,lane1_same_seeds_out_of_road,delta_out_of_road,moderate_ttc_risk,lane1_same_seeds_ttc_risk,delta_ttc_risk
0.0,lane1_same_seeds,0.98,0.98,0.0,0.0,0.0,0.0,0.9895203031497789,0.9909598349722746,-0.0014395318224956766,0.08073129334180568,0.18935785742033434,-0.10862656407852866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,lane1_same_seeds,0.88,0.84,0.040000000000000036,0.1,0.1,0.0,0.9570355669536619,0.9367153259334652,0.020320241020196694,0.09905911484687367,0.19387006085765462,-0.09481094601078095,0.1,0.1,0.0,0.0,0.0,0.0,0.004527793187433828,0.005892165894345603,-0.0013643727069117756
0.15,lane1_same_seeds,0.63,0.65,-0.020000000000000018,0.28,0.22999999999999998,0.050000000000000044,0.8504454459295002,0.8699766226966219,-0.019531176767121683,0.15005407155912318,0.2511912188473129,-0.1011371472881897,0.27,0.2,0.07,0.01,0.03,-0.019999999999999997,0.015421813456497104,0.020039739080628505,-0.004617925624131401
