seed,density,metric,moderate,lane1,delta_moderate_minus_lane1
1,0.0,success,0.98,0.96,0.020000000000000018
1,0.0,cost,0.0,0.0,0.0
1,0.0,route_completion,0.9899873755262866,0.9907861442110382,-0.000798768684751594
1,0.0,lane_deviation,0.06004638762132121,0.263055595060159,-0.20300920743883782
1,0.0,collision,0.0,0.0,0.0
1,0.0,out_of_road,0.0,0.0,0.0
1,0.0,ttc_risk,0.0,0.0,0.0
1,0.08,success,0.88,0.82,0.06000000000000005
1,0.08,cost,0.12,0.1,0.01999999999999999
1,0.08,route_completion,0.9451465626727259,0.9227609405465524,0.022385622126173454
1,0.08,lane_deviation,0.07185043352181147,0.2733314837448717,-0.20148105022306023
1,0.08,collision,0.12,0.1,0.01999999999999999
1,0.08,out_of_road,0.0,0.0,0.0
1,0.08,ttc_risk,0.005350948950685117,0.007392211032655261,-0.0020412620819701445
1,0.15,success,0.64,0.62,0.020000000000000018
1,0.15,cost,0.28,0.3,-0.019999999999999962
1,0.15,route_completion,0.8488292253318181,0.8687865702236282,-0.019957344891810003
1,0.15,lane_deviation,0.10207798069644955,0.3585048000313127,-0.2564268193348631
1,0.15,collision,0.26,0.26,0.0
1,0.15,out_of_road,0.02,0.04,-0.02
1,0.15,ttc_risk,0.016992892519322948,0.027554976571923975,-0.010562084052601027
2,0.0,success,0.98,1.0,-0.020000000000000018
2,0.0,cost,0.0,0.0,0.0
2,0.0,route_completion,0.9890532307732712,0.991133525733511,-0.002080294960239759
2,0.0,lane_deviation,0.10141619906229016,0.11566011978050965,-0.014243920718219491
2,0.0,collision,0.0,0.0,0.0
2,0.0,out_of_road,0.0,0.0,0.0
2,0.0,ttc_risk,0.0,0.0,0.0
2,0.08,success,0.88,0.86,0.020000000000000018
2,0.08,cost,0.08,0.1,-0.020000000000000004
2,0.08,route_completion,0.968924571234598,0.9506697113203779,0.018254859914220045
2,0.08,lane_deviation,0.12626779617193587,0.11440863797043756,0.011859158201498313
2,0.08,collision,0.08,0.1,-0.020000000000000004
2,0.08,out_of_road,0.0,0.0,0.0
2,0.08,ttc_risk,0.0037046374241825374,0.004392120756035945,-0.0006874833318534076
2,0.15,success,0.62,0.68,-0.06000000000000005
2,0.15,cost,0.28,0.16,0.12000000000000002
2,0.15,route_completion,0.8520616665271823,0.8711666751696157,-0.019105008642433363
2,0.15,lane_deviation,0.1980301624217968,0.14387763766331307,0.05415252475848373
2,0.15,collision,0.28,0.14,0.14
2,0.15,out_of_road,0.0,0.02,-0.02
2,0.15,ttc_risk,0.013850734393671259,0.012524501589333034,0.0013262328043382246
