density,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,speed,lane_deviation,steering_variation,accel_variation,ttc_risk,min_ttc
0.0,0.98,0.9909598349722746,0.0,0.0,0.0,497.0561608823923,281.92695066429116,1102.72,18.298239262198013,0.18935785742033434,0.014177848213414782,0.22543619920708027,0.0,
0.08,0.84,0.9367153259334652,0.1,0.0,0.1,477.8018069991782,221.40408060014616,1093.71,17.932374175106908,0.19387006085765462,0.019171580620679637,0.2337302846445489,0.005892165894345603,7.3158663949269975
0.15,0.65,0.8699766226966219,0.2,0.03,0.22999999999999998,402.3759801028992,42.11635193892683,1097.58,16.226168103721513,0.2511912188473129,0.028896089117984615,0.2830331673804686,0.020039739080628505,2.937757782891853
