#{"t_start": 1782846504.0839527, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,episode_risk_gate_rate,episode_continuous_risk_penalty,episode_event_risk_penalty,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-79.313859,600,4.511379,0.0,0.0,5.120301149276958,-79.31385857867014,0.0,0.0,0.0,0.0,0.08314977116728543,600,0.6467362778350844,0.13880926349973793,0.22905070260022553,0.8454662284875909,0.820414598112305,0.6464475053672989,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-83.708349,600,10.224506,0.0,0.0,5.934917367752738,-83.70834890091514,0.0,0.0,0.0,0.0,0.10599473631702996,600,0.720990223432606,0.19974791493648775,0.331230739878006,0.8189364168172081,0.8499300876383981,0.6173326240728298,0.0,nan,0.13333333333333333,8.26559703747273,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-296.066192,447,12.573868,0.0,1.0,-7.966721462886727,-296.0661917472945,0.0,0.0,0.0,1.0,0.10655734464775063,447,0.751657146264128,0.6117659632648283,1.0269921010590404,0.8325307912191156,0.7928559899796842,0.6497349371046028,0.0,nan,0.3131991051454139,74.84512480176073,10.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-83.760368,600,18.176579,0.0,0.0,6.678137611797477,-83.76036792558575,0.0,0.0,0.0,0.0,0.1403113478745027,600,0.8483504354939401,0.15844361838442753,0.6118150183535803,0.8541881550972661,0.8320039829487602,0.6278845374534527,0.0,nan,0.09333333333333334,11.861890646464463,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-77.127335,600,21.228032,0.0,0.0,6.322880149809829,-77.1273345481329,0.0,0.0,0.0,0.0,0.10172006474584311,600,0.7444007339316369,0.11637475441964976,0.2664553485640057,0.7942147768288851,0.7789792612909029,0.616536622128139,0.0,nan,0.03166666666666667,1.707577212871492,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-77.851177,600,27.194695,0.0,0.0,7.605915989443683,-77.8511767728722,0.0,0.0,0.0,0.0,0.10897395066237017,600,0.8062066664768207,0.15916029168319637,0.33291197066744155,0.8566924961283803,0.8189615400756399,0.6389031195640564,0.0,nan,0.085,5.013092794088922,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-91.596619,600,29.97966,0.0,0.0,7.983631453364742,-91.5966190675491,0.0,0.0,0.0,0.0,0.12336401796466026,600,0.8709821121139474,0.2393833466125153,0.7140176137794335,0.811154336699595,0.8496430629491806,0.6567334584891796,0.0,nan,0.13166666666666665,20.422995512817817,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-168.371621,600,36.006313,0.0,0.0,5.257933411464293,-168.371621365756,0.0,0.0,0.0,0.0,0.12875524423818274,600,0.9226471261572903,0.6039881722054226,0.9891536748405629,0.802782687159876,0.8112621162086725,0.6347291016081968,0.0,nan,0.3016666666666667,97.40079784101565,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-123.96215,600,41.537411,0.0,0.0,8.0964728256984,-123.96214973094182,0.0,0.0,0.0,0.0,0.16082414555556995,600,1.0055974319458487,0.43141047542078126,0.9994131991030444,0.8004735524083177,0.7642996042470137,0.6132984372476736,0.0,nan,0.21833333333333332,59.2933519660137,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-103.656129,600,44.726643,0.0,0.0,8.936873845543198,-103.65612903201904,0.0,0.0,0.0,0.0,0.13402448148504156,600,0.9927263432954405,0.29333301870810075,0.5204414191661803,0.7903715039789677,0.8063700836151838,0.6805431602398554,0.0,nan,0.2833333333333333,35.48554521419233,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
