#{"t_start": 1782846504.0572429, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,episode_risk_gate_rate,episode_continuous_risk_penalty,episode_event_risk_penalty,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-74.318923,600,4.538034,0.0,0.0,7.088976035072494,-74.31892349824614,0.0,0.0,0.0,0.0,0.13091471210544045,600,0.7750617980208797,0.054181130112055984,0.11859129248213339,0.8200838426407426,0.8317214995343238,0.6515968643936018,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-93.880127,600,10.248459,0.0,0.0,5.4450537193000415,-93.88012739152316,0.0,0.0,0.0,0.0,0.1064235811856508,600,0.6954345267384531,0.2669939110941366,0.42687980721991436,0.7918995882881185,0.8277882341978451,0.5939096021279693,0.0,nan,0.195,17.009597498599117,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-73.792993,600,13.293583,0.0,0.0,6.936550328890016,-73.7929934516559,0.0,0.0,0.0,0.0,0.12346828459747683,600,0.7501986151929652,0.08182061461294113,0.18154460873890385,0.8064798069745303,0.8519081034883856,0.635549284045895,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-78.654871,600,19.104306,0.0,0.0,5.9235712648939,-78.65487104100947,0.0,0.0,0.0,0.0,0.1008335831635902,600,0.6516334259238393,0.031171372255156544,0.0761778517405721,0.8476510861578087,0.8409608595073224,0.6347624326497316,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-83.443846,600,21.971213,0.0,0.0,5.011544386891834,-83.44384629714597,0.0,0.0,0.0,0.0,0.09625316815250706,600,0.7276116075706286,0.19534853402230895,0.44816886455417554,0.7866038926132023,0.8049864079927405,0.6043862342337767,0.0,nan,0.085,6.549745216692158,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-73.888757,600,27.982389,0.0,0.0,7.933826281492779,-73.88875745747804,0.0,0.0,0.0,0.0,0.10110823504438965,600,0.7535586251017204,0.05667593852960356,0.14046625743894872,0.8804904928555092,0.7985357560838262,0.6092217677086592,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-89.560175,600,33.565522,0.0,0.0,8.242930390394152,-89.56017540782321,0.0,0.0,0.0,0.0,0.14810459113421712,600,0.8352261984462156,0.20660247923196118,0.6333776133930938,0.791356798770527,0.7860949792712927,0.5732190815359354,0.0,nan,0.135,18.755824248388983,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-80.970006,600,36.737241,0.0,0.0,9.39704754137139,-80.97000648875655,0.0,0.0,0.0,0.0,0.13501816008051953,600,0.8649642107318132,0.20367769663625374,0.4520922325521766,0.8410178639863928,0.7969829161340992,0.5857011680056652,0.0,nan,0.15333333333333332,11.569256662662985,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-71.697294,600,42.455882,0.0,0.0,11.213051590180646,-71.69729386322092,0.0,0.0,0.0,0.0,0.18983496069002212,600,1.050996931777995,0.13407745951946812,0.5598351976682128,0.7896445582558711,0.7848876659447949,0.6639070150504509,0.0,nan,0.085,9.297218085912112,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-142.972187,600,45.480945,0.0,0.0,8.006437683472159,-142.9721872873237,0.0,0.0,0.0,0.0,0.14652930469367267,600,1.0411963014114625,0.4653059516214821,0.999047464227605,0.8220162484422326,0.7507570624475678,0.5911431936671336,0.0,nan,0.2733333333333333,78.43657831680666,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
