variant,algo,seed,density,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,speed,lane_deviation,steering_variation,accel_variation,ttc_risk,min_ttc
proposed,ppo,3,0.0,0.84,0.9745449991098957,0.0,0.0,0.0,516.3088953748952,318.0672773978773,972.38,20.256904768596215,0.12939754325455285,0.009557472651868166,0.2248981219453863,0.0,
proposed,ppo,3,0.08,0.74,0.9174773730140015,0.1,0.02,0.12,472.03433814340684,251.85722970699703,920.5,19.878634120215075,0.14290947253959363,0.01351405355828039,0.228109629480529,0.004750457669872404,4.925118598699808
proposed,ppo,3,0.15,0.34,0.7235700473242984,0.56,0.02,0.58,310.8271187411329,-0.6207991937429139,780.64,18.432755429714547,0.2771019674610067,0.019357568990266544,0.2548240699769558,0.016881855321380566,1.7091037269876646
