#{"t_start": 1780067150.3383086, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,curriculum_stage
-104.355936,600,11.765423,0.0,0.0,4.560508975647439,-104.3559356515238,0.0,0.0,0.0,0.0,0.07747352402732745,600,0.6445283343380853,0.14950931318151062,0.2910564277941082,0.8623082426469773,0.8197440506145358,0.6667246096457045,0.0,nan,0.0
-103.775357,600,35.225845,0.0,0.0,4.965035305918038,-103.77535724475965,0.0,0.0,0.0,0.0,0.09284445349527791,600,0.6842174387201208,0.1609498492276158,0.39268879957151465,0.7946488010262449,0.7924887193925678,0.633825138869385,0.0,nan,0.0
-109.652766,600,45.085605,0.0,0.0,8.42051858793982,-109.65276615756328,0.0,0.0,0.0,0.0,0.11946821982404197,600,0.9214228061266353,0.2549923160769978,0.46478065831829285,0.8070558683201671,0.8036340990910927,0.6112293760975201,0.0,nan,0.0
-96.737799,600,67.283271,0.0,0.0,8.127027271215214,-96.73779872543628,0.0,0.0,0.0,0.0,0.12205629982019119,600,0.8358778498693852,0.14942752386123276,0.30662167745436186,0.8291769520317515,0.7351572471360366,0.5944676890472571,0.0,nan,0.0
-118.696627,600,76.994934,0.0,0.0,9.725452032687343,-118.69662699122078,0.0,0.0,0.0,0.0,0.1890093832185501,600,0.9940484695078984,0.2702298373335655,0.8134902925248011,0.7836754065814118,0.754494509883225,0.5965301767239968,0.0,nan,0.0
-83.250832,600,99.952595,0.0,0.0,12.528086058214004,-83.25083234339812,0.0,0.0,0.0,0.0,0.16706008304011083,600,1.171698529761768,0.1760831435544986,0.2920115892918161,0.7735026049924394,0.7702856296797593,0.5892225194474061,0.0,nan,0.0
-186.06792,600,122.270815,0.0,0.0,8.272782022416056,-186.0679198353277,0.0,0.0,0.0,0.0,0.17005836923141512,600,1.1950373994897652,0.52878529890398,0.9975809334012213,0.8226125727593899,0.7781654245158036,0.6081651852031549,0.0,nan,0.0
-80.599433,600,137.698271,0.0,0.0,13.10764798870008,-80.59943306390991,0.0,0.0,0.0,0.0,0.2081433405407793,600,1.1172747894041293,0.11513466414925373,0.40358717217768436,0.7631143860208491,0.7606354770561059,0.618038596312205,0.0,nan,0.0
-350.978869,600,162.082626,0.0,0.0,6.402026171679756,-350.97886897101745,0.0,0.0,0.0,0.0,0.16895189820805737,600,1.1695481168359423,0.7836429216365259,1.776424415353656,0.7916173059369127,0.7456099001566568,0.619400799870491,0.0,nan,0.0
-207.200091,600,177.257411,0.0,0.0,8.217413803148355,-207.20009065041407,0.0,0.0,0.0,0.0,0.19545060871917488,600,1.2723151018809842,0.5746735624355767,0.9999866461204183,0.8649649511696771,0.7680461686849595,0.5910806053876877,0.0,nan,0.0
-73.026811,600,206.885406,0.0,0.0,15.208174896415217,-73.02681054551901,0.0,0.0,0.0,0.0,0.17438510522293063,600,1.2314563188186176,0.08864965060655652,0.27859876892861274,0.7878028184299668,0.7503323959807555,0.6329524764915307,0.0,nan,0.0
-196.131825,212,211.979419,0.0,1.0,-6.693091238512626,-196.13182453748396,0.0,0.0,0.0,1.0,0.1214683546501905,212,1.4581054207120185,0.5169053169110361,1.0319085344321204,0.8104538133473329,0.7146218012807504,0.5065422481242216,0.0,nan,0.0
-126.024279,600,249.470346,0.0,0.0,13.250121107975769,-126.02427852062976,0.0,0.0,0.0,0.0,0.21414271979562122,600,1.5542388094034618,0.3864789687211422,0.9200840469753498,0.8087226674767832,0.6934848487377167,0.4998009146998326,0.0,nan,0.0
-113.079401,600,272.545351,0.0,0.0,15.816538425160262,-113.07940120330134,0.0,0.0,0.0,0.0,0.24033086624935468,600,1.524484702865325,0.34396594623547716,0.9939040853806856,0.805842227395624,0.6804899328698715,0.5554721385240555,0.0,nan,0.0
-77.790875,600,306.99029,0.0,0.0,14.919101221626008,-77.79087465340362,0.0,0.0,0.0,0.0,0.2127379130455591,600,1.1995832335031835,0.13885237369623,0.37453568315978136,0.79404876558731,0.7078257767607768,0.5548643660048643,0.0,nan,0.0
-65.430373,600,321.955297,0.0,0.0,18.946626228703675,-65.43037251783775,0.0,0.0,0.0,0.0,0.2828091995513646,600,1.4762755494568542,0.13602985024366387,0.3279464761868399,0.7558667624462396,0.7056495484709739,0.569562857846419,0.0,nan,0.0
-84.729103,600,349.068857,0.0,0.0,28.932525332494947,-84.72910286641088,0.0,0.0,0.0,0.0,0.47364591783477034,600,2.6008611307437572,0.34752939208804107,0.9175996584012911,0.729983907546848,0.6086294453094403,0.5002313029269377,0.0,nan,0.0
-57.136635,600,379.657315,0.0,0.0,29.453352145541906,-57.136635041292664,0.0,0.0,0.0,0.0,0.36573975878336,600,2.5197870049936286,0.27697150970876877,0.6206897641921421,0.7137500693649054,0.6248778949181238,0.49833020667235056,0.0,nan,0.0
