variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,risk_gate_rate,continuous_risk_penalty,event_risk_penalty,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
proposed_gated_risk,ppo,0,11500,7,0.2,0,16,110.84962845413678,-67.67548016375937,0.0,0.20268179271808875,1.0,1.0,0.0,0.0,1.0,287,16.320715253945085,0.10688115420662109,0.5341148706699294,0.07614111189019805,0.28501742226736887,0.3108013947250951,0.01327949883399706,2.664460998257308,0.7038327526132404,21.057566099551313,10.0,195,6,5,184,0.6794425087108014,0.020905923344947737,0.017421602787456445,0.6411149825783972,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/config.json,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip
proposed_gated_risk,ppo,0,10400,7,0.2,1,16,183.48770787389725,-14.756149781722257,0.0,0.48488904744072076,1.0,1.0,0.0,0.0,1.0,418,17.743020550335505,0.0984421233352717,0.3756547730041599,0.07850525349057748,0.30143540726894397,0.30813397174816953,0.0049965233360355285,2.9838917002519243,0.7751196172248804,15.745565616299672,10.0,314,6,1,307,0.7511961722488039,0.014354066985645933,0.0023923444976076554,0.7344497607655502,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/config.json,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip
proposed_gated_risk,ppo,0,10700,7,0.2,2,16,184.49010095558071,-16.137909397264025,0.0,0.29860702209450396,1.0,1.0,0.0,0.0,1.0,437,17.50074737488829,0.12350502509970215,0.17587120142824092,0.03840758062865014,0.2892448525679739,0.3011441661782341,0.0012515255764287202,11.052076128663918,0.7391304347826086,10.177240758834564,10.0,324,13,0,311,0.7414187643020596,0.029748283752860413,0.0,0.7116704805491991,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/config.json,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip
proposed_gated_risk,ppo,0,10500,7,0.2,3,16,223.49071180828562,-29.57366208460064,0.0,0.5762106951243223,1.0,1.0,0.0,0.0,1.0,614,15.32420056376197,0.14818121234980794,0.44396748682125314,0.05932267708248832,0.2863192197165971,0.32117263987320643,0.05266346853136925,1.1511666366234201,0.6661237785016286,47.46744579371625,10.0,431,27,43,361,0.7019543973941368,0.043973941368078175,0.07003257328990228,0.5879478827361564,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/config.json,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip
proposed_gated_risk,ppo,0,10100,7,0.2,4,16,401.7188556017984,256.71644387410413,1.0,0.9887376897995919,0.0,0.0,0.0,0.0,0.0,863,17.01086035437228,0.11052868168170206,0.3584393262904523,0.045438809877181664,0.3077636165663099,0.30150637427735577,0.014134791282565087,3.041474757407049,0.7473928157589803,35.6924915187787,0.0,642,28,15,599,0.7439165701042874,0.03244495944380069,0.01738122827346466,0.694090382387022,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/config.json,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip
proposed_gated_risk,ppo,0,10000,7,0.2,5,16,250.53014046670245,-66.52872141116592,0.0,0.48821524966158214,1.0,1.0,0.0,0.0,1.0,955,10.659881250552193,0.11635732596497808,0.30549407748390855,0.05757685305638463,0.4772774922286029,0.4795811569503465,0.05954791244530339,0.26799266100169317,0.4638743455497382,70.72240163098027,10.0,528,107,58,363,0.5528795811518324,0.11204188481675392,0.060732984293193716,0.38010471204188484,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/config.json,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip
proposed_gated_risk,ppo,0,10900,7,0.2,6,16,497.37460793516607,296.912948981001,1.0,0.9906041599265466,0.0,0.0,0.0,0.0,0.0,1102,16.688313903331277,0.11155788660858103,0.3259338855132602,0.04100972135465072,0.2631578956022453,0.2765880226007174,0.03594388416072127,0.9743173580687908,0.735934664246824,37.54852138364399,0.0,862,29,52,781,0.7822141560798548,0.02631578947368421,0.047186932849364795,0.7087114337568058,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/config.json,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip
proposed_gated_risk,ppo,0,10800,7,0.2,7,16,311.0296589503989,-252.52358601814706,0.0,0.4782313792268126,1.0,1.0,0.0,0.0,1.0,1198,12.021674068220204,0.33945591596622815,0.7964853806974905,0.04322367571511979,0.49265442915472246,0.49315526399867166,0.026549688283219998,1.5223421482566157,0.8689482470784641,312.5176706624193,10.0,604,134,9,461,0.5041736227045075,0.11185308848080133,0.007512520868113523,0.38480801335559267,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/config.json,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip
proposed_gated_risk,ppo,0,11200,7,0.2,8,16,499.4895934776247,234.13268449927187,1.0,0.9932869429392627,0.0,0.0,0.0,0.0,0.0,1216,15.99701892870543,0.16875208884200152,0.8793161525606737,0.08086440793704242,0.3546052651577874,0.34013158082962036,0.009675400769554714,0.42345807710617706,0.8018092105263158,105.54358995711144,0.0,821,56,7,758,0.6751644736842105,0.046052631578947366,0.005756578947368421,0.6233552631578947,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/config.json,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip
proposed_gated_risk,ppo,0,10700,7,0.2,9,16,456.1088591151107,305.1370099036978,1.0,0.9926368400504462,0.0,0.0,0.0,0.0,0.0,910,17.951325500822048,0.07986272942072824,0.17830879882624232,0.04588954305419555,0.276253070805099,0.2810882357450632,0.0016453846106047505,6.876353727106751,0.8076923076923077,17.32289325587538,0.0,736,13,1,722,0.8087912087912088,0.014285714285714285,0.001098901098901099,0.7934065934065934,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/config.json,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip
