seed,density,n_episodes,success,cost,route_completion,collision,out_of_road,mean_speed_kmh,mean_lane_deviation,ttc_risk,shield_intervention_rate,overspeed_guard_rate
26,0.0,50,0.96,0.0,0.9879591405586623,0.0,0.0,18.30814630710515,0.07590584129784901,0.0,0.871460642573227,0.871460642573227
26,0.08,50,0.88,0.1,0.9405079343004055,0.1,0.0,17.94897757165356,0.08582438771274832,0.0045214126445335045,0.8430614670211305,0.8319379416998218
26,0.15,50,0.62,0.2,0.8419565450579873,0.2,0.0,15.837248064450748,0.1167278299787929,0.016512674997526053,0.7019302884905523,0.6385323583055279
27,0.0,50,0.96,0.0,0.9909599982529176,0.0,0.0,18.319727881918137,0.08846104698467658,0.0,0.8727984881209839,0.8727984881209839
27,0.08,50,0.86,0.06,0.9797247448173445,0.04,0.02,17.89289907907599,0.09205944835825697,0.006814474038923101,0.8424101328509076,0.8280215664581075
27,0.15,50,0.44,0.38,0.7765355775597267,0.32,0.06,15.246545751632679,0.2162847410975435,0.02314583577999309,0.6792699563217122,0.6059934824310532
28,0.0,50,1.0,0.0,0.9912189121464807,0.0,0.0,18.28753373948117,0.08124604670158972,0.0,0.8655669306149061,0.8655669306149061
28,0.08,50,0.86,0.12,0.938383520263949,0.12,0.0,17.759259541222498,0.08930900885857822,0.006867783735735667,0.82636231144913,0.810819973471175
28,0.15,50,0.66,0.2,0.8972006430054104,0.2,0.0,15.739964534948369,0.11055606951089672,0.021893246412599404,0.6992367857600102,0.6292225855002193
