density,n_seeds,success,cost,route_completion,collision,out_of_road,mean_speed_kmh,mean_lane_deviation,ttc_risk,shield_intervention_rate,overspeed_guard_rate
0.0,3,0.023094010767585053,0.0,0.0018119186014737463,0.0,0.0,0.016306816705771457,0.006300888993859413,0.0,0.003847533740831448,0.003847533740831448
0.08,3,0.011547005383792526,0.030550504633038933,0.02327934782052562,0.041633319989322654,0.011547005383792516,0.09746559604813478,0.003124726207326776,0.00133955401656941,0.009458845989888056,0.011233887561215093
0.15,3,0.11718930554164632,0.10392304845413264,0.06040401665099773,0.06928203230275509,0.034641016151377546,0.31671633028358126,0.05934113409524193,0.0035241630411127615,0.012378879114441221,0.01675828920394757
