density,ttc14_success,ttc12_success,delta_success,ttc14_cost,ttc12_cost,delta_cost,ttc14_route_completion,ttc12_route_completion,delta_route_completion,ttc14_collision,ttc12_collision,delta_collision,ttc14_out_of_road,ttc12_out_of_road,delta_out_of_road
0.0,0.9733333333333333,0.96,0.013333333333333308,0.0,0.0,0.0,0.9900460169860201,0.9903239953657259,-0.0002779783797057789,0.0,0.0,0.0,0.0,0.0,0.0
0.08,0.8666666666666667,0.8733333333333334,-0.00666666666666671,0.09333333333333334,0.08,0.013333333333333336,0.9528720664605664,0.9502048633079577,0.0026672031526087103,0.08666666666666667,0.08,0.006666666666666668,0.006666666666666667,0.0,0.006666666666666667
0.15,0.5733333333333334,0.5666666666666668,0.006666666666666599,0.26,0.2733333333333334,-0.013333333333333364,0.8385642552077082,0.8321745297688544,0.006389725438853744,0.24,0.2733333333333334,-0.03333333333333338,0.02,0.0,0.02
