density,reference,gated_success,ref_success,delta_success,gated_cost,ref_cost,delta_cost,gated_route_completion,ref_route_completion,delta_route_completion,gated_collision,ref_collision,delta_collision,gated_out_of_road,ref_out_of_road,delta_out_of_road,gated_mean_speed_kmh,ref_mean_speed_kmh,delta_mean_speed_kmh,gated_mean_lane_deviation,ref_mean_lane_deviation,delta_mean_lane_deviation,gated_ttc_risk,ref_ttc_risk,delta_ttc_risk
0.0,shield_only,0.94,0.9933333333333333,-0.053333333333333344,0.0,0.0,0.0,0.9871855539328755,0.9916280638982645,-0.004442509965388974,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
0.08,shield_only,0.8500000000000001,0.9133333333333332,-0.06333333333333313,0.08,0.06666666666666667,0.013333333333333336,0.9588746128810446,0.9592454577629775,-0.0003708448819329524,0.08,0.04666666666666667,0.03333333333333333,0.0,0.02,-0.02,,,,,,,0.003693632026375746,0.00351875799254249,0.00017487403383325585
0.15,shield_only,0.5900000000000001,0.6266666666666667,-0.036666666666666625,0.28,0.22666666666666668,0.053333333333333344,0.8431446184675685,0.8710546865014698,-0.02791006803390128,0.28,0.22666666666666668,0.053333333333333344,0.0,0.0,0.0,,,,,,,0.01614621757613592,0.016501156916972393,-0.0003549393408364722
