density,n_seeds,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,mean_speed_kmh,mean_lane_deviation,steering_variation,accel_variation,ttc_risk,risk_gate_rate,continuous_risk_penalty,event_risk_penalty,shield_intervention_rate,overspeed_guard_rate
0.0,2,0.94,0.9871855539328755,0.0,0.0,0.0,542.8207772389665,321.4637818818849,1145.0300000000002,18.310688788936112,0.14241106448993507,0.009085196244754573,0.22686909671814065,0.0,0.8952413053249219,40.95702889491333,0.0,0.8696930576080704,0.8696930576080704
0.08,2,0.8500000000000001,0.9588746128810446,0.08,0.0,0.08,512.2433872276557,277.49353725654134,1123.47,17.95777018720222,0.15900445194740576,0.01647009804135984,0.24016996766604903,0.003693632026375746,0.8755885121573728,54.13364087252825,0.8,0.8371709970027328,0.8261910504260486
0.15,2,0.5900000000000001,0.8431446184675685,0.28,0.0,0.28,430.8482740677624,167.08876669758402,1074.17,16.25499500454074,0.1571167892083787,0.02706443355362722,0.300794286535749,0.01614621757613592,0.7642405473804925,78.34415507499996,2.8,0.7217479404928244,0.6696495323093952
