density,baseline,curriculum_success,baseline_success,delta_curriculum_minus_baseline_success,curriculum_cost,baseline_cost,delta_curriculum_minus_baseline_cost,curriculum_collision,baseline_collision,delta_curriculum_minus_baseline_collision,curriculum_out_of_road,baseline_out_of_road,delta_curriculum_minus_baseline_out_of_road,curriculum_route_completion,baseline_route_completion,delta_curriculum_minus_baseline_route_completion,curriculum_lane_deviation,baseline_lane_deviation,delta_curriculum_minus_baseline_lane_deviation,curriculum_ttc_risk,baseline_ttc_risk,delta_curriculum_minus_baseline_ttc_risk
0.0,baseline,0.006666666666666667,0.006666666666666667,0.0,0.9933333333333333,0.9933333333333333,0.0,0.0,0.0,0.0,0.9933333333333333,0.9933333333333333,0.0,0.34894748883854637,0.3029121061499139,0.0460353826886325,0.3034089042471236,0.356738555258682,-0.0533296510115584,0.0,0.0,0.0
0.08,baseline,0.0,0.0,0.0,1.0,1.0,0.0,0.37333333333333335,0.45333333333333337,-0.08000000000000002,0.6266666666666667,0.5466666666666666,0.08000000000000007,0.23556966126856244,0.24203323912218055,-0.006463577853618119,0.2785537564648105,0.33835026063770435,-0.05979650417289384,0.09684660697372637,0.09033808290128136,0.00650852407244501
0.15,baseline,0.0,0.0,0.0,1.0,1.0,0.0,0.6266666666666667,0.6266666666666667,0.0,0.37333333333333335,0.37333333333333335,0.0,0.17653213530547082,0.18951866394192662,-0.012986528636455802,0.26119275539889697,0.316675756951552,-0.05548300155265501,0.17597803894321876,0.1327554927367928,0.04322254620642596
