density,baseline,curriculum_success,shield_only_success,delta_curriculum_minus_shield_only_success,curriculum_cost,shield_only_cost,delta_curriculum_minus_shield_only_cost,curriculum_collision,shield_only_collision,delta_curriculum_minus_shield_only_collision,curriculum_out_of_road,shield_only_out_of_road,delta_curriculum_minus_shield_only_out_of_road,curriculum_route_completion,shield_only_route_completion,delta_curriculum_minus_shield_only_route_completion,curriculum_lane_deviation,shield_only_lane_deviation,delta_curriculum_minus_shield_only_lane_deviation,curriculum_ttc_risk,shield_only_ttc_risk,delta_curriculum_minus_shield_only_ttc_risk
0.0,shield_only,0.006666666666666667,0.9933333333333333,-0.9866666666666666,0.9933333333333333,0.0,0.9933333333333333,0.0,0.0,0.0,0.9933333333333333,0.0,0.9933333333333333,0.34894748883854637,0.9916280638982645,-0.6426805750597182,0.3034089042471236,0.06088609025944441,0.24252281398767916,0.0,0.0,0.0
0.08,shield_only,0.0,0.9133333333333332,-0.9133333333333332,1.0,0.06666666666666667,0.9333333333333333,0.37333333333333335,0.04666666666666667,0.32666666666666666,0.6266666666666667,0.02,0.6066666666666667,0.23556966126856244,0.9592454577629775,-0.7236757964944152,0.2785537564648105,0.07027947741063356,0.20827427905417695,0.09684660697372637,0.00351875799254249,0.09332784898118388
0.15,shield_only,0.0,0.6266666666666667,-0.6266666666666667,1.0,0.22666666666666668,0.7733333333333333,0.6266666666666667,0.22666666666666668,0.4,0.37333333333333335,0.0,0.37333333333333335,0.17653213530547082,0.8710546865014698,-0.6945225511959989,0.26119275539889697,0.10513956770225923,0.15605318769663773,0.17597803894321876,0.016501156916972393,0.15947688202624635
