density,baseline,curriculum_success,guard_only_success,delta_curriculum_minus_guard_only_success,curriculum_cost,guard_only_cost,delta_curriculum_minus_guard_only_cost,curriculum_collision,guard_only_collision,delta_curriculum_minus_guard_only_collision,curriculum_out_of_road,guard_only_out_of_road,delta_curriculum_minus_guard_only_out_of_road,curriculum_route_completion,guard_only_route_completion,delta_curriculum_minus_guard_only_route_completion,curriculum_lane_deviation,guard_only_lane_deviation,delta_curriculum_minus_guard_only_lane_deviation,curriculum_ttc_risk,guard_only_ttc_risk,delta_curriculum_minus_guard_only_ttc_risk
0.0,guard_only,0.006666666666666667,0.9733333333333333,-0.9666666666666666,0.9933333333333333,0.0,0.9933333333333333,0.0,0.0,0.0,0.9933333333333333,0.0,0.9933333333333333,0.34894748883854637,0.9902073727309076,-0.6412598838923613,0.3034089042471236,0.061805349798109116,0.24160355444901446,0.0,0.0,0.0
0.08,guard_only,0.0,0.8733333333333334,-0.8733333333333334,1.0,0.09333333333333334,0.9066666666666666,0.37333333333333335,0.09333333333333334,0.28,0.6266666666666667,0.0,0.6266666666666667,0.23556966126856244,0.9404938454525765,-0.7049241841840141,0.2785537564648105,0.0791711927576199,0.1993825637071906,0.09684660697372637,0.0037571173315305508,0.09308948964219581
0.15,guard_only,0.0,0.6333333333333333,-0.6333333333333333,1.0,0.20666666666666667,0.7933333333333333,0.6266666666666667,0.19999999999999998,0.42666666666666675,0.37333333333333335,0.006666666666666667,0.3666666666666667,0.17653213530547082,0.867815496168541,-0.6912833608630702,0.26119275539889697,0.13634125812863734,0.12485149727025963,0.17597803894321876,0.01627759066310022,0.15970044828011853
