#{"t_start": 1782845003.8103518, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-314.182581,734,17.97108,0.0,1.0,133.74137816011063,-314.18258067450836,1.0,1.0,0.0,0.0,0.23145736226129404,734,8.148983201122075,0.23119210803321263,0.8423822506679962,0.04377976424607628,0.576839244658031,0.5547683997440078,0.028687692853840287,4.525653375759372,255,119,3,133,0.3474114441416894,0.16212534059945505,0.004087193460490463,0.18119891008174388,4.0
-241.040424,1107,49.748836,0.0,1.0,318.2645378605643,-241.04042439250986,1.0,1.0,0.0,0.0,0.5877113234954083,1107,12.778788222644117,0.2316373062985625,0.7025137162706445,0.04205518608867395,0.41788618319079807,0.4372177099255473,0.021880847410727287,1.1626028120510021,557,106,14,437,0.5031616982836495,0.0957542908762421,0.012646793134598013,0.3947606142728094,4.0
-297.680899,812,75.869945,0.0,1.0,203.21399402627418,-297.68089884197457,1.0,1.0,0.0,0.0,0.30131448737683664,812,11.57088543008952,0.28027693547118415,0.849417168172072,0.04490363280853174,0.4839901532152016,0.48465332491644497,0.025866355302356245,1.1577131301659749,307,97,10,200,0.37807881773399016,0.11945812807881774,0.012315270935960592,0.24630541871921183,4.0
-177.687078,464,87.208698,0.0,1.0,181.34918829041933,-177.6870783557313,1.0,1.0,0.0,0.0,0.3172626044533903,464,15.77797949864549,0.11914670470075807,0.4881747330300341,0.036264869194289125,0.33405172670709676,0.332758622950521,0.033318512324676086,0.7219650320507727,303,26,15,262,0.6530172413793104,0.05603448275862069,0.032327586206896554,0.5646551724137931,4.0
