density,wo_smooth_success,full_proposed_success,delta_wo_smooth_minus_full_success,wo_smooth_cost,full_proposed_cost,delta_wo_smooth_minus_full_cost,wo_smooth_collision,full_proposed_collision,delta_wo_smooth_minus_full_collision,wo_smooth_out_of_road,full_proposed_out_of_road,delta_wo_smooth_minus_full_out_of_road,wo_smooth_route_completion,full_proposed_route_completion,delta_wo_smooth_minus_full_route_completion,wo_smooth_lane_deviation,full_proposed_lane_deviation,delta_wo_smooth_minus_full_lane_deviation,wo_smooth_steering_variation,full_proposed_steering_variation,delta_wo_smooth_minus_full_steering_variation,wo_smooth_accel_variation,full_proposed_accel_variation,delta_wo_smooth_minus_full_accel_variation,wo_smooth_ttc_risk,full_proposed_ttc_risk,delta_wo_smooth_minus_full_ttc_risk
0.0,0.99,0.973333,0.016666999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9903166259679401,0.989437,0.0008796259679401119,0.2059843539064101,0.132425,0.07355935390641011,0.014783604735078816,nan,nan,0.2293049501006934,nan,nan,0.0,0.0,0.0
0.08,0.8200000000000001,0.833333,-0.013332999999999928,0.16,0.133333,0.026666999999999996,0.15000000000000002,0.126667,0.02333300000000002,0.01,0.006667,0.003333,0.9092816795937779,0.928769,-0.01948732040622203,0.22201149901640813,0.154979,0.06703249901640812,0.0211593031166726,nan,nan,0.23750152291212343,nan,nan,0.005891995797861711,0.005224,0.000667995797861711
0.15,0.53,0.62,-0.08999999999999997,0.32999999999999996,0.246667,0.08333299999999996,0.32,0.233333,0.086667,0.01,0.013333,-0.003332999999999999,0.7925974978601315,0.865068,-0.0724705021398685,0.27449427069101734,0.177586,0.09690827069101735,0.03389057339099983,nan,nan,0.3157085357237256,nan,nan,0.020026923640833583,0.015307,0.004719923640833583
