#{"t_start": 1782849098.231285, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,episode_risk_gate_rate,episode_continuous_risk_penalty,episode_event_risk_penalty,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-194.876516,1067,28.99257,0.0,1.0,241.93339416011037,-194.87651615986857,1.0,1.0,0.0,0.0,0.4832437465014431,1067,9.934766000539849,0.31511354180898177,0.8165340375126278,0.042793667949421896,0.5276898945618034,0.5303264724504423,0.028499066879507054,2.0151110187649874,0.5417057169634489,198.32296309998125,10.0,403,140,16,247,0.3776944704779756,0.13120899718837864,0.01499531396438613,0.23149015932521086,4.0
210.732576,1108,56.221763,1.0,0.0,440.29610707742916,210.73257609816847,0.0,0.0,0.0,0.0,0.9904692545408442,1108,14.746683247379044,0.12568852731747918,0.5495093891228403,0.04587843617935419,0.35072902189265087,0.35967437605565206,0.021398745496314195,2.3186085006405928,0.6633574007220217,100.28424762218013,0.0,639,71,24,544,0.5767148014440433,0.06407942238267147,0.021660649819494584,0.49097472924187724,4.0
274.677599,1185,92.019808,1.0,0.0,503.47976856502066,274.67759947730025,0.0,0.0,0.0,0.0,0.9915479598873369,1185,15.424674534491539,0.0964897597616487,0.5481062529685913,0.039664727764573526,0.3263164171689673,0.325414246144677,0.0315581071931831,2.254257658970988,0.6683544303797468,65.12420320070362,0.0,808,51,48,709,0.6818565400843882,0.043037974683544304,0.04050632911392405,0.5983122362869199,4.0
